modeling_row_id,target_row_id,target_release_timestamp_utc,target_reference_period_start,country_code,currency_code,headline_target_type,headline_indicator_key,candidate_indicator_id,candidate_indicator_key,candidate_macro_theme,best_lag_months,lag_correlation,feature_release_timestamp_utc,feature_reference_period_start,actual_value,mom_change,yoy_change,rolling_avg_3,rolling_avg_6,expanding_z_score,momentum,deviation_from_trend,standardized_surprise_score,direction_target,acceleration_target,binary_up_target,no_lookahead,processed_at
1,2,2020-04-10T12:30:00+00:00,2020-03-01,US,USD,CPI,cpi_headline_yoy,17,core_cpi_yoy,Inflation,2,0.683168,2020-03-11T12:30:00+00:00,2020-02-01,2.400000,,,2.400000,2.400000,,,,,-1,,0,True,2026-04-24T07:51:03.322738+00:00
2,2,2020-04-10T12:30:00+00:00,2020-03-01,US,USD,CPI,cpi_headline_yoy,18,core_cpi_mom,Inflation,2,-0.659342,2020-03-11T12:30:00+00:00,2020-02-01,0.200000,,,0.200000,0.200000,,,,,-1,,0,True,2026-04-24T07:51:03.322738+00:00
3,2,2020-04-10T12:30:00+00:00,2020-03-01,US,USD,CPI,cpi_headline_yoy,20,cpi_headline_mom,Inflation,4,0.418595,2020-03-11T12:30:00+00:00,2020-02-01,0.100000,,,0.100000,0.100000,,,,,-1,,0,True,2026-04-24T07:51:03.322738+00:00
4,2,2020-04-10T12:30:00+00:00,2020-03-01,US,USD,CPI,cpi_headline_yoy,21,ppi_yoy,Inflation,6,0.506714,2020-04-09T12:30:00+00:00,2020-03-01,0.700000,-0.600000,,1.000000,1.000000,,,-0.600000,,-1,,0,True,2026-04-24T07:51:03.322738+00:00
5,2,2020-04-10T12:30:00+00:00,2020-03-01,US,USD,CPI,cpi_headline_yoy,22,core_ppi_yoy,Inflation,4,0.566052,2020-04-09T12:30:00+00:00,2020-03-01,1.400000,0.000000,,1.400000,1.400000,,,0.000000,,-1,,0,True,2026-04-24T07:51:03.322738+00:00
6,2,2020-04-10T12:30:00+00:00,2020-03-01,US,USD,CPI,cpi_headline_yoy,24,umich_inflation_exp_5y,Inflation,3,0.305233,2020-04-09T14:00:00+00:00,2020-04-01,2.500000,0.200000,,2.366667,2.366667,,0.200000,0.200000,,-1,,0,True,2026-04-24T07:51:03.322738+00:00
7,2,2020-04-10T12:30:00+00:00,2020-03-01,US,USD,CPI,cpi_headline_yoy,25,import_prices_yoy,Inflation,4,0.518765,2020-03-13T12:30:00+00:00,2020-02-01,-1.200000,,,-1.200000,-1.200000,,,,,-1,,0,True,2026-04-24T07:51:03.322738+00:00
8,2,2020-04-10T12:30:00+00:00,2020-03-01,US,USD,CPI,cpi_headline_yoy,26,nfp,Labor,1,0.392349,2020-04-03T12:30:00+00:00,2020-03-01,-701.000000,-974.000000,,-214.000000,-214.000000,,,-974.000000,,-1,,0,True,2026-04-24T07:51:03.322738+00:00
9,2,2020-04-10T12:30:00+00:00,2020-03-01,US,USD,CPI,cpi_headline_yoy,27,unemployment_rate,Labor,2,-0.684444,2020-04-03T12:30:00+00:00,2020-03-01,4.400000,0.900000,,3.950000,3.950000,,,0.900000,,-1,,0,True,2026-04-24T07:51:03.322738+00:00
10,2,2020-04-10T12:30:00+00:00,2020-03-01,US,USD,CPI,cpi_headline_yoy,28,avg_hourly_earnings_yoy,Inflation,2,0.562317,2020-04-03T12:30:00+00:00,2020-03-01,3.100000,0.100000,,3.050000,3.050000,,,0.100000,,-1,,0,True,2026-04-24T07:51:03.322738+00:00
11,2,2020-04-10T12:30:00+00:00,2020-03-01,US,USD,CPI,cpi_headline_yoy,29,avg_hourly_earnings_mom,Inflation,1,-0.378603,2020-04-03T12:30:00+00:00,2020-03-01,0.400000,0.100000,,0.350000,0.350000,,,0.100000,,-1,,0,True,2026-04-24T07:51:03.322738+00:00
12,2,2020-04-10T12:30:00+00:00,2020-03-01,US,USD,CPI,cpi_headline_yoy,30,participation_rate,Labor,4,0.653829,2020-04-03T12:30:00+00:00,2020-03-01,62.700000,-0.700000,,63.050000,63.050000,,,-0.700000,,-1,,0,True,2026-04-24T07:51:03.322738+00:00
13,2,2020-04-10T12:30:00+00:00,2020-03-01,US,USD,CPI,cpi_headline_yoy,32,adp_employment_change,Labor,5,-0.495730,2020-04-01T12:15:00+00:00,2020-03-01,-27.000000,,,-27.000000,-27.000000,,,,,-1,,0,True,2026-04-24T07:51:03.322738+00:00
14,2,2020-04-10T12:30:00+00:00,2020-03-01,US,USD,CPI,cpi_headline_yoy,33,initial_jobless_claims,Labor,3,0.284603,2020-04-09T12:30:00+00:00,2020-04-04,6606.000000,-42.000000,,5512.333333,2874.166667,1.570900,-3407.000000,4478.200000,1.570900,-1,,0,True,2026-04-24T07:51:03.322738+00:00
15,2,2020-04-10T12:30:00+00:00,2020-03-01,US,USD,CPI,cpi_headline_yoy,34,ism_manufacturing_pmi,Growth,2,-0.704023,2020-04-01T14:00:00+00:00,2020-03-01,49.100000,,,49.100000,49.100000,,,,,-1,,0,True,2026-04-24T07:51:03.322738+00:00
16,2,2020-04-10T12:30:00+00:00,2020-03-01,US,USD,CPI,cpi_headline_yoy,35,ism_manufacturing_prices,Inflation,4,-0.623305,2020-04-01T14:00:00+00:00,2020-03-01,37.400000,,,37.400000,37.400000,,,,,-1,,0,True,2026-04-24T07:51:03.322738+00:00
17,2,2020-04-10T12:30:00+00:00,2020-03-01,US,USD,CPI,cpi_headline_yoy,36,ism_manufacturing_employment,Labor,5,-0.423803,2020-04-01T14:00:00+00:00,2020-03-01,43.800000,,,43.800000,43.800000,,,,,-1,,0,True,2026-04-24T07:51:03.322738+00:00
18,2,2020-04-10T12:30:00+00:00,2020-03-01,US,USD,CPI,cpi_headline_yoy,37,ism_manufacturing_new_orders,Growth,2,-0.751264,2020-04-01T14:00:00+00:00,2020-03-01,42.200000,,,42.200000,42.200000,,,,,-1,,0,True,2026-04-24T07:51:03.322738+00:00
